Epoch 000 | Iter 004500 | Step 0004501 | G-Cycle: 0.3924 | G-L1: 0.2310 | G-Adv: 1.2982 | Gc-Adv: 2.6213 | G-Sum: 4.2311 | D: 2.8832 | Dc: 2.4518
Epoch 000 | Iter 004600 | Step 0004601 | G-Cycle: 0.2264 | G-L1: 0.1958 | G-Adv: 1.4157 | Gc-Adv: 2.3601 | G-Sum: 3.9869 | D: 2.7727 | Dc: 2.4226
Epoch 000 | Iter 004700 | Step 0004701 | G-Cycle: 0.3056 | G-L1: 0.1913 | G-Adv: 1.3666 | Gc-Adv: 2.2720 | G-Sum: 3.8870 | D: 2.7770 | Dc: 2.4511
Epoch 000 | Iter 004800 | Step 0004801 | G-Cycle: 0.2916 | G-L1: 0.1822 | G-Adv: 0.9506 | Gc-Adv: 1.9476 | G-Sum: 3.1351 | D: 4.3669 | Dc: 2.5840
Epoch 000 | Iter 004900 | Step 0004901 | G-Cycle: 0.3245 | G-L1: 0.1488 | G-Adv: 1.3816 | Gc-Adv: 2.8104 | G-Sum: 4.4287 | D: 2.7748 | Dc: 2.0275
Epoch 000 | Iter 005000 | Step 0005001 | G-Cycle: 0.5431 | G-L1: 0.2691 | G-Adv: 1.3200 | Gc-Adv: 2.0635 | G-Sum: 3.7897 | D: 2.7766 | Dc: 2.6724
Epoch 000 | Iter 005100 | Step 0005101 | G-Cycle: 0.5400 | G-L1: 0.2119 | G-Adv: 1.4313 | Gc-Adv: 2.2405 | G-Sum: 4.0478 | D: 2.7749 | Dc: 2.7317
Epoch 000 | Iter 005200 | Step 0005201 | G-Cycle: 0.3264 | G-L1: 0.2214 | G-Adv: 1.3828 | Gc-Adv: 1.8656 | G-Sum: 3.5224 | D: 2.7754 | Dc: 3.2060
Epoch 000 | Iter 005300 | Step 0005301 | G-Cycle: 0.3722 | G-L1: 0.2618 | G-Adv: 1.4819 | Gc-Adv: 1.9095 | G-Sum: 3.7085 | D: 2.8463 | Dc: 2.7139
Epoch 000 | Iter 005400 | Step 0005401 | G-Cycle: 0.4321 | G-L1: 0.2165 | G-Adv: 1.3988 | Gc-Adv: 2.0862 | G-Sum: 3.8093 | D: 2.7702 | Dc: 2.9244
Epoch 000 | Iter 005500 | Step 0005501 | G-Cycle: 0.3072 | G-L1: 0.1639 | G-Adv: 1.4219 | Gc-Adv: 1.9999 | G-Sum: 3.6573 | D: 2.7747 | Dc: 2.7859
Epoch 000 | Iter 005600 | Step 0005601 | G-Cycle: 0.2890 | G-L1: 0.1924 | G-Adv: 1.3889 | Gc-Adv: 2.1439 | G-Sum: 3.7735 | D: 2.7438 | Dc: 2.8496
Epoch 000 | Iter 005700 | Step 0005701 | G-Cycle: 0.2850 | G-L1: 0.1570 | G-Adv: 1.4094 | Gc-Adv: 1.7238 | G-Sum: 3.3541 | D: 2.7732 | Dc: 2.9810
Epoch 000 | Iter 005800 | Step 0005801 | G-Cycle: 0.4129 | G-L1: 0.1826 | G-Adv: 1.3637 | Gc-Adv: 2.1532 | G-Sum: 3.8146 | D: 2.7739 | Dc: 2.6019
Epoch 000 | Iter 005900 | Step 0005901 | G-Cycle: 0.3453 | G-L1: 0.2026 | G-Adv: 1.2666 | Gc-Adv: 1.7264 | G-Sum: 3.2669 | D: 2.7904 | Dc: 2.6040
